STIMULUS	p	t	k	f	T	s	S	C	b	d	g	v	D	z	Z	J	m	n	G	l	r
p	50	16.3	14.2	5.8	5.8	0	0	0	0.8	0.4	0.4	0	2.1	0	0	0	0.4	0	0	0	0.8
t	5	77.1	5.8	0.8	4.6	0	0	2.1	0	0.4	0	0.4	2.5	0.4	0	0	0	0	0	0	0
k	11.3	12.5	63.3	0.8	5	0	0	2.1	0.4	0.4	0.4	0.8	2.1	0	0	0	0	0	0	0	0
f	10	10	6.7	45	12.9	0	0.8	0	0	0.8	0	1.3	5.4	0	0.8	0	0.4	0	0.4	1.7	0
T	9.2	17.9	4.2	30.8	19.2	0.8	0.4	0.8	0.4	0.4	0.4	2.5	7.5	0	0.4	0	0.4	0.8	0	0	0.4
s	0.8	2.9	0.8	12.9	8.8	65.4	2.9	0.4	0	0	0.4	0	1.7	0.8	0.4	0	0	0	0	0	0
S	0	0	0	0	0.4	1.3	80.8	14.2	0	0	0	0	0.4	0	2.5	0.4	0	0	0	0	0
C	0.4	3.8	0.4	0	0	0	0	89.6	0	0	0	0	0	0	1.7	4.2	0	0	0	0	0
b	1.3	1.3	4.2	3.8	2.5	0.4	0	0.4	35	10.4	9.2	15.4	4.6	0.4	2.5	1.3	2.1	1.7	0	0.4	1.3
d	0	3.3	0.4	3.8	2.5	1.7	0	0	3.8	42.9	4.6	6.7	5.8	1.7	5.4	5.8	0.4	5.8	2.9	0	0.4
g	0.4	3.3	1.3	2.9	5.4	0.4	0	0.8	5.4	9.2	35.4	14.2	5.4	0.8	2.1	1.7	1.3	2.1	2.5	0.4	0.8
v	0.4	0.8	1.3	9.2	2.5	0	0	0.4	2.9	4.6	7.9	47.5	5.8	0.4	3.8	1.7	2.9	1.3	0.8	0.8	1.7
D	0	2.1	0	1.7	4.2	2.5	0.4	0.4	2.9	22.5	5	17.5	16.7	5.8	5.4	7.5	0	1.3	0.8	0.4	0.4
z	0.4	0	0	0	2.5	7.5	0.4	0.4	1.3	10	1.3	12.5	9.6	37.1	5.4	4.6	0.4	2.5	0	0.4	0.8
Z	0	0	0	0.4	0	0.8	2.5	2.1	0	2.5	1.3	4.2	4.6	3.8	51.7	23.3	0.4	1.7	0	0.4	0.4
J	0.4	0.8	0	0	0.4	0	0.4	3.3	0.4	5.8	2.5	0.8	0.4	0.4	17.9	64.6	0.4	0	0	0	0.8
m	0	0.4	0	1.3	0.4	0	0	0	1.7	1.3	2.1	7.1	0.4	0	0	0.4	56.3	12.1	14.2	0.4	0.8
n	0	0	0	0	0.4	0	0	0	0.4	5.4	1.3	3.3	1.7	1.3	1.3	0.8	12.5	59.6	10.4	0	0.4
G	0	0.4	0.4	0.8	0	0	0	0.4	0.4	1.3	9.2	5.8	1.3	0	0.4	0	15.4	25.4	35	0.8	1.7
l	0.4	0.8	0.8	7.9	0.4	0	0	0	0	0.8	0.8	6.7	3.3	0	0.4	0.4	1.3	0.4	0	70.8	0.8
r	0	0.4	0.4	1.3	0.8	0	0	0	0	0.4	0.8	0.4	3.8	1.3	0	1.3	1.3	0.4	0	0.8	84.2
