STIMULUS	p	t	k	f	T	s	S	C	b	d	g	v	D	z	Z	J	m	n	G	l	r
p	24.2	13.8	11.7	5.8	8.8	0	0	0.4	21.3	5.8	2.1	0	3.3	0	0.8	0	0.4	0.4	0.4	0	0.8
t	4.6	45	5.4	1.7	9.2	1.7	0	1.3	1.7	20.4	0.4	0.4	5.4	0.4	0.4	0.8	0	0	0	0.4	0.8
k	8.3	12.5	44.6	4.2	5	0.4	0.4	0.8	2.5	3.8	12.5	0.4	1.7	0	0	1.3	0	0	0	0.4	1.3
f	7.5	21.7	6.7	22.1	9.6	1.7	1.3	0.4	6.3	10.4	0.4	3.3	5	0.4	0.8	0.4	0.8	0	0	0.8	0.4
T	7.9	24.6	3.8	17.9	17.5	0.8	0.4	1.7	2.9	7.9	0.4	2.5	9.2	0	0.8	1.3	0	0	0	0	0.4
s	0	3.8	0	17.1	14.6	37.5	5	0.8	0.4	0.4	0	2.5	10	4.6	1.7	0.8	0	0	0	0	0.8
S	0	0	0	0	0.4	6.7	66.7	10.4	0	0	0.4	0	1.3	1.7	10	2.1	0	0	0	0	0.4
C	0.4	0.8	0	0.4	1.3	0.4	6.7	42.5	0.8	3.3	0.4	0	3.3	0	5.4	34.2	0	0	0	0	0
b	5	7.5	6.7	2.9	5.4	0	0	0.4	30.4	15	3.8	7.9	5	1.3	0.4	2.9	2.5	0.8	0	0.8	1.3
d	1.3	16.3	0.4	2.5	5.8	0.8	0.4	0	2.1	39.6	2.1	3.8	7.9	1.7	2.9	5.8	0.4	1.7	2.5	0	2.1
g	0.8	12.9	4.6	0.8	7.5	0	0	0.8	2.1	20.4	25.8	4.2	5	0.8	0.8	6.3	2.5	1.7	0.8	0.8	1.3
v	1.3	12.9	3.8	12.1	5.4	0	1.7	0.4	4.6	15.8	3.3	15.8	5.4	1.3	1.3	1.3	2.1	3.3	1.3	4.2	2.9
D	0.4	11.3	0.8	4.2	8.3	3.3	1.7	1.3	2.5	29.2	2.1	10	8.3	2.9	1.3	7.9	0.4	1.3	0	0.8	2.1
z	0	3.8	0	1.7	10	12.1	2.1	2.5	0.4	8.8	2.1	5	10	25.8	5	2.1	2.1	1.7	1.3	1.3	2.5
Z	0	3.3	0.4	0	2.1	2.5	14.2	4.2	0.4	3.8	0.4	1.3	4.2	6.7	45	9.2	0.4	0.4	0	0.8	0.8
J	0	2.9	0	1.7	2.9	0.8	2.9	13.3	0.4	8.8	0	0	4.2	0.4	9.6	51.7	0	0	0	0	0.4
m	0	9.2	0	0.4	4.6	0.8	0	0	0	5.8	1.3	2.1	2.1	0.8	0	0	41.3	20	8.3	2.1	1.3
n	0.4	9.6	0	1.3	1.3	0.4	0.4	0.4	0.8	8.3	0	0.4	2.1	2.1	0.4	2.1	8.3	48.3	9.2	2.1	2.1
G	0	6.7	0.4	2.1	2.1	0.4	0	0	2.5	5.8	6.3	0	1.7	1.7	0	0	13.8	22.5	30.4	2.1	1.7
l	0.4	8.3	1.7	5.8	3.3	0	0.4	0	0	9.2	1.3	2.1	1.7	0.4	0	0	0.8	2.5	0.4	57.5	4.2
r	0.4	7.9	0.4	0.8	3.8	0	0.4	0	1.7	6.7	0	1.7	2.9	0.4	0.4	0.8	0	2.1	0	1.7	67.9
