STIMULUS	i	I	e	E	@	a	^	c	o	U	u	Y	O	W	X
i	75.6	16.7	1.8	1.8	0	0.3	0.6	0	0	1.5	0	0	0.3	0.3	0.9
I	1.5	86	0.6	5.4	0.3	0	0.3	0	0.3	0.3	1.5	1.2	0	0	2.4
e	25	14.6	46.7	6.5	4.2	0	0.3	0.6	0.3	0	0	0	0.6	0	1.2
E	0.3	12.5	0.9	58.3	25	0	0.3	0	0	0	0	0	0	0.3	2.1
@	0	1.8	1.2	33.6	56.3	0.3	0.6	0	0	0	0	0.9	0	4.2	1.2
a	0.3	0	0	0.6	13.4	29.2	31.5	15.5	1.2	0.3	0.3	3.9	0.3	1.2	1.8
^	0	0	0.3	0.9	4.8	27.4	44.3	7.7	3.9	0.3	0.6	1.5	0.3	3.9	4.2
c	0	0	0	0	0.6	63.4	5.4	22	2.4	0.6	0.9	0.6	3	0	1.2
o	0	0	0.6	0	0	8.6	0.9	2.1	53	14.9	14.9	0.9	1.8	1.2	0.6
U	0.6	0.3	0	0	0.3	11.6	4.2	2.4	3.9	50.9	17.3	0.6	3.6	2.4	1.5
u	8.6	1.5	0.3	0	0.3	2.7	0.9	1.8	4.8	46.7	29.2	0.3	0	1.8	1.2
Y	0	3	24.7	0.6	2.7	0	0.3	0.6	0.6	0	0	64.3	0.9	0	2.4
O	0	0	1.5	0	0	3.6	0	0.3	0.9	0.6	0.3	0.9	90.5	1.2	0.3
W	0	0	0.3	2.7	0.6	2.7	0	2.7	16.4	0.9	0.9	2.4	0.3	70.2	0
X	0.9	0.3	0.3	0.9	0	0.3	19	0.9	0.3	0	0	0.6	0	0.6	75.9
