STIMULUS	i	I	e	E	@	a	^	c	o	U	u	Y	O	W	X
i	97.4	0.3	0.3	1.7	0	0	0	0	0	0	0	0.3	0	0	0
I	0.3	95.5	0	2.3	0	0.3	0	0	0	0	0	0	0	0.3	1.4
e	6	4.3	84.1	3.1	1.1	0	0	0.3	0	0	0.3	0.9	0	0	0
E	0.3	15.6	0.3	60.5	22.2	0	0	0.3	0	0	0	0	0	0.3	0.6
@	0	0.9	4.8	39.2	51.7	0.6	1.1	0	0.3	0	0	0.6	0	0	0.9
a	0.3	0.6	0	0.6	16.8	23.6	22.7	28.4	2.6	0.3	0.3	1.7	0.3	2	0
^	0	0.3	0.6	1.7	10.2	25	41.5	16.8	1.4	0.3	0.3	1.4	0	0.6	0
c	0	0	0	0	4.8	34.7	5.4	50	3.4	0	0.3	0	0.3	0.6	0.3
o	0	0.6	0	0	0.3	11.1	0.6	4.8	69.6	2.8	6	0	2.6	1.7	0
U	0	0.6	0	0	0	5.4	4.3	4.5	1.7	73.3	6.8	0.6	1.4	0.6	0.9
u	17.9	0.3	0	0.6	0	0.6	1.4	1.1	0.9	31.3	45.2	0.3	0	0.6	0
Y	0	3.4	14.8	0.3	1.1	0.3	0.6	0.6	0.9	0	0	74.1	1.4	0.3	2.3
O	0	0	0.3	0	0	2.3	0	0.6	0.9	0.3	0	1.7	93.8	0.3	0
W	0	0.3	0.3	2	0.6	4	0.6	5.1	17	0.3	0.9	3.1	0.9	64.5	0.6
X	0.3	0.3	0	0.9	0.3	0.6	7.1	0.3	0	0	0	0.6	0	0.3	89.5
