STIMULUS	i	I	e	E	@	a	^	c	o	U	u	Y	O	W	X
i	78.9	8.3	0.3	2.7	0	0	0	0.3	0	0.3	1.8	1.2	0	0	3.9
I	1.5	81.8	0.9	8	0.9	0	1.2	0.3	0	0.3	1.5	0.9	0	0	1.8
e	5.7	5.4	74.4	4.5	5.7	0	0	0	0.3	0.3	0	0.3	0	0.3	1.2
E	0.6	4.2	2.4	84.2	2.7	0	1.2	0	0	0	0	0.3	0	0	3
@	0	1.2	6.5	3.9	78.3	0.6	0	1.2	0	0	0	0.3	0.3	4.8	2.1
a	0	0.6	1.2	0.3	9.8	42.3	12.5	26.8	0.9	0	0	0.6	0	0.9	1.8
^	0	0	0.3	0	1.2	12.5	64.9	8.3	1.8	1.2	0	1.2	0	4.2	3
c	0	0.3	0.3	0	0.6	36.3	4.5	47.3	3.9	1.2	0	0.6	2.1	0.9	0
o	0	0.3	0	0	0	4.8	1.2	0.9	69.6	8.9	6.5	0	3.3	2.1	0.3
U	0	0	0	0	0	2.1	14	2.1	0.9	63.7	6.8	0.3	3	2.1	0.9
u	3.6	1.5	0.3	0	0	0.6	3	1.5	1.8	19.3	62.5	0.3	1.2	1.8	1.2
Y	0	8.3	2.1	0	0	0	0.3	0	0	0	0	87.2	0.6	0	0.6
O	0.3	0	0.6	0.3	0	0	0.3	0.6	1.2	0.6	0.3	0	92.9	3	0
W	0.3	0	0.3	2.1	0.6	3.3	0	7.1	2.4	0.3	0.3	0	0.9	81.5	0.3
X	0.6	0.3	0	1.5	0	0	1.5	0.3	0	0	0	0	0	0	95.5
