STIMULUS	i	I	e	E	@	a	^	c	o	U	u	Y	O	W	X
i	93.5	0.3	0	3.7	0	0	0	0.3	0	0	1.4	0	0	0.3	0
I	0.9	84.4	0.3	10.5	0.3	0	2	0	0.3	0	0	0	0	0.3	0
e	0.6	2	91.5	2	2.8	0	0	0	0	0	0	0.9	0	0	0
E	0.6	6.3	2.3	73.6	8.5	0	2.3	2.3	0	0.3	0	0.3	0	0.3	0.3
@	0	0.6	1.1	12.2	82.7	0	0	1.1	0	0	0.3	0.3	0	0	0.3
a	0	0	1.1	0.9	8.2	33.5	24.4	27	0.6	0.3	0	0.3	0	1.1	0
^	0	0	0.9	2.3	6	11.4	65.3	11.1	0.3	0.9	0.3	0	0.3	0.3	0
c	0	0	0.9	0	2.6	23.9	3.7	65.3	0.9	0.6	0	0	0.9	0	0
o	0.3	0.3	0	0.3	0	1.7	0	0.6	90.6	0.3	0.9	0	1.4	2.3	0
U	0.3	0	0	0.6	0	2	21.6	0.6	0.6	68.2	2.6	0.3	0.3	0	0
u	3.7	0	0	0.9	0	0.3	0.9	0.6	0.3	6.8	81.8	0	0.3	2.6	0
Y	0	6	0.9	0.3	0	0.3	0	0.3	0.3	0	0	91.5	0	0.3	0
O	0	0	0	0	0	0.6	0.3	0.9	1.4	0.9	0.3	0.3	92	2.3	0
W	0.3	0	0	0.9	0.6	2	0	1.7	8.2	0.6	0	0	1.7	82.4	0.6
X	0.3	0.3	0	1.1	0	0	0.3	0	0	0	0	0	0	0	97.7
